find_id,find_material
15221,POTTERY
15224,IRON
15228,Animal Bone
15235,GLASS
15237,STONE
15238,Animal Bone
15831,POTTERY
15838,Animal Bone
16241,POTTERY
16244,IRON
16251,POTTERY
16254,IRON
16258,Animal Bone
26781,POTTERY
26783,CBM
26784,IRON
26785,GLASS
26788,Animal Bone
27214,IRON
27217,STONE
27218,Animal Bone
27601,POTTERY
27608,Animal Bone
27631,POTTERY
27634,IRON
27821,POTTERY
27828,Animal Bone
28135,GLASS
28698,BONE
28700,CHARCOAL
28754,IRON
28755,GLASS
28758,Animal Bone
28791,POTTERY
28794,IRON
28901,POTTERY
28904,IRON
28906,STONE
28908,Animal Bone
28963,CBM
28965,GLASS
28967,STONE
28970,NATURAL
31611,POTTERY
31614,IRON
31788,Animal Bone
31790,CHARCOAL
31801,POTTERY
31804,IRON
31808,Animal Bone
36513,CBM
36514,IRON
36515,GLASS
36518,Animal Bone
36521,POTTERY
36523,CBM
36524,IRON
36525,GLASS
36526,STONE
36528,Animal Bone
36531,POTTERY
36534,IRON
36538,Animal Bone
36671,POTTERY
36674,IRON
36678,Animal Bone
36691,POTTERY
36694,IRON
36701,POTTERY
36704,IRON
36705,GLASS
36706,STONE
36708,Animal Bone
36709,OTHER
36710,NATURAL
36741,POTTERY
36745,GLASS
36748,Animal Bone
36791,POTTERY
36793,CBM
36794,IRON
36798,Animal Bone
36800,CHARCOAL
36841,POTTERY
36861,POTTERY
36863,CBM
36864,IRON
36868,Animal Bone
36881,POTTERY
36884,IRON
36885,GLASS
36888,Animal Bone
36890,CHARCOAL
36891,POTTERY
36911,POTTERY
36914,IRON
36918,Animal Bone
36971,POTTERY
36973,IRON
36981,POTTERY
37111,POTTERY
37116,STONE
37151,POTTERY
3288,Copper Alloy
3292,Iron
3295,Glass
3297,Stone
3309,Iron
3320,Pot
3338,Pot
3340,Pot
3343,Pot
3361,Iron
3363,Copper Alloy
3365,Copper Alloy
3379,Iron
3381,Shale
3382,Iron
3384,Copper Alloy
3385,Pot
3393,Copper Alloy
3397,Iron
3409,Iron
3418,Iron
3439,Copper Alloy
3449,Iron
3457,Iron
3482,Iron
3484,Copper Alloy
3485,Copper Alloy
3486,Pot
3493,Frit
3495,Copper Alloy
3496,Iron
3499,Pot
3500,Iron
3502,Iron
3506,Copper Alloy
3512,Copper Alloy
3513,Glass
3515,Glass
3521,Glass
3524,Pottery
3528,Iron
3541,Iron
3543,Iron
3554,Pot
3581,Ceramic
3593,Iron
3601,Pottery
3602,Iron
3616,Iron
3628,Pottery
3635,Copper Alloy
3648,Copper Alloy
3653,Iron
3655,Iron
3667,Iron
3670,Pottery
3679,Copper Alloy
3682,Iron
3691,Iron
3696,Samian
3697,Iron
3717,Iron
3729,Pottery
3740,Iron
3758,Copper Alloy
3764,Copper Alloy
3766,Copper Alloy
3777,Copper Alloy
3778,Iron
3779,Copper Alloy
3783,Copper Alloy
3790,Iron
3793,Iron
3795,Iron
3796,Iron
3812,Shale
3815,Copper Alloy
3817,Stone
3827,Iron
3829,Copper Alloy
3831,Iron
3836,Copper Alloy
3843,Copper Alloy
3854,Iron
3855,Glass
3875,Stone
3879,Iron
3880,Copper Alloy Iron
3883,Glass
3890,Copper Alloy
3908,Frit
