"ID","REC_TYPE","FNO","D_DATA","D_DIAM","D_LENGTH","D_WIDTH","D_THICK","D_HEIGHT","D_WEIGHT","D_AREA","D_VOLUME"
833,"BF",40948,"2003",0,0,0,0,0,20,0,0
834,"BF",40994,"Primary",0,0,0,0,0,10,0,0
835,"BF",41054,"2003",0,0,0,0,0,5,0,0
836,"BF",41068,"2003",0,0,0,0,0,20,0,0
837,"BF",41124,"Primary",0,0,0,0,0,10,0,0
838,"BF",41128,"2003",0,0,0,0,0,20,0,0
839,"BF",41138,"2003",0,0,0,0,0,25,0,0
840,"BF",41168,"2003",0,0,0,0,0,25,0,0
841,"BF",44204,"Primary",0,0,0,0,0,15,0,0
842,"BF",41378,"2003",0,0,0,0,0,20,0,0
843,"BF",41468,"2003",0,0,0,0,0,10,0,0
844,"BF",41724,"Primary",0,0,0,0,0,20,0,0
845,"BF",41728,"2003",0,0,0,0,0,10,0,0
846,"BF",41824,"Primary",0,0,0,0,0,10,0,0
847,"BF",42254,"Primary",0,0,0,0,0,40,0,0
848,"BF",42258,"2003",0,0,0,0,0,20,0,0
849,"BF",42584,"Primary",0,0,0,0,0,5,0,0
850,"BF",42588,"2003",0,0,0,0,0,1,0,0
851,"BF",42714,"Primary",0,0,0,0,0,10,0,0
852,"BF",42728,"2003",0,0,0,0,0,10,0,0
853,"BF",42744,"Primary",0,0,0,0,0,50,0,0
854,"BF",42748,"2003",0,0,0,0,0,150,0,0
855,"BF",42814,"Primary",0,0,0,0,0,75,0,0
856,"BF",42818,"2003",0,0,0,0,0,5,0,0
857,"BF",43068,"2003",0,0,0,0,0,40,0,0
858,"BF",43114,"Primary",0,0,0,0,0,5,0,0
859,"BF",43118,"2003",0,0,0,0,0,50,0,0
860,"BF",43188,"2003",0,0,0,0,0,10,0,0
861,"BF",32044,"2003",0,0,0,0,0,2,0,0
862,"BF",32048,"2003",0,0,0,0,0,150,0,0
863,"BF",33024,"Primary",0,0,0,0,0,1,0,0
864,"BF",33044,"Primary",0,0,0,0,0,15,0,0
865,"BF",33048,"2003",0,0,0,0,0,50,0,0
866,"BF",33124,"Primary",0,0,0,0,0,225,0,0
867,"BF",33128,"Primary",0,0,0,0,0,30,0,0
868,"BF",33474,"Primary",0,0,0,0,0,45,0,0
869,"BF",33478,"2003",0,0,0,0,0,200,0,0
870,"BF",34464,"2003",0,0,0,0,0,10,0,0
871,"BF",34734,"Primary",0,0,0,0,0,40,0,0
872,"BF",34738,"2003",0,0,0,0,0,40,0,0
873,"BF",35154,"Primary",0,0,0,0,0,30,0,0
874,"BF",35794,"Primary",0,0,0,0,0,25,0,0
875,"BF",35998,"2003",0,0,0,0,0,40,0,0
876,"BF",36014,"Primary",0,0,0,0,0,5,0,0
877,"BF",36114,"Primary",0,0,0,0,0,240,0,0
878,"BF",36118,"2003",0,0,0,0,0,1050,0,0
879,"BF",36124,"Primary",0,0,0,0,0,10,0,0
880,"BF",36128,"2003",0,0,0,0,0,10,0,0
881,"BF",36178,"2003",0,0,0,0,0,20,0,0
882,"BF",36214,"Primary",0,0,0,0,0,2,0,0
883,"BF",36234,"Primary",0,0,0,0,0,10,0,0
884,"BF",36238,"2003",0,0,0,0,0,50,0,0
885,"BF",36284,"Primary",0,0,0,0,0,10,0,0
886,"BF",36288,"2003",0,0,0,0,0,100,0,0
887,"BF",36303,"Primary",0,0,0,0,0,5,0,0
888,"BF",37224,"Primary",0,0,0,0,0,40,0,0
889,"BF",37228,"2003",0,0,0,0,0,10,0,0
890,"BF",37254,"Primary",0,0,0,0,0,115,0,0
891,"BF",37258,"2003",0,0,0,0,0,60,0,0
892,"SF",651,"Fragment 2",0,18,12,0,0,0,0,0
893,"BF",12570,"Primary",0,0,0,0,0,63,0,0
894,"BF",14160,"Primary",0,0,0,0,0,3,0,0
895,"BF",14900,"Primary",0,0,0,0,0,680,0,0
896,"BF",7970,"Primary",0,0,0,0,0,9,0,0
897,"SF",2574,"2",8,2,0,0,0,0,0,0
898,"SF",827,"Maximum W.",0,15,20,0,0,0,0,0
899,"SF",3581,,0,30,0,13,0,0,0,0
900,"SF",1232,,0,38,5,0,0,0,0,0
901,"SF",3981,,23,127,7,0,0,0,0,0
902,"SF",3295,,0,18,17,6,0,0,0,0
903,"SF",3297,"1st fragment",0,42,13,4,0,0,0,0
904,"SF",3297,"2nd fragment",0,21,10,4,0,0,0,0
905,"SF",3679,,0,32,7,0,8,0,0,0
906,"SF",3042,,0,139,13,0,0,0,0,0
907,"SF",3648,,0,14,10,0,0,0,0,0
908,"SF",3320,,0,40,23,4,0,0,0,0
909,"SF",3338,,0,34,29,3,0,0,0,0
910,"SF",3340,,0,18,16,2,0,0,0,0
911,"SF",3343,,0,95,85,35,0,0,0,0
912,"SF",3361,,0,60,33,10,0,0,0,0
913,"SF",3365,,0,12,8,0,0,0,0,0
914,"SF",3384,,0,100,0,0,0,0,0,0
915,"SF",4089,,0,22,5,0,0,0,0,0
916,"SF",3385,,0,39,33,25,0,0,0,0
917,"SF",3409,,0,31,7,0,0,0,0,0
918,"SF",3515,,16,0,0,5,0,0,0,0
919,"SF",3381,,0,39,14,9,0,0,0,0
920,"SF",1077,,0,39,22,0,0,0,0,0
921,"SF",2079,"Nail-cleaner",0,41,0,0,0,0,0,0
922,"SF",3485,,0,44,10,2,0,0,0,0
923,"SF",3486,,0,6,2,2,0,0,0,0
924,"SF",2535,,14,0,0,0,0,0,0,0
925,"SF",3495,,9,0,0,1,0,0,0,0
926,"SF",3031,,0,50,22,6,0,0,0,0
927,"SF",3499,,0,35,22,3,0,0,0,0
928,"SF",3309,,0,69,20,0,0,0,0,0
929,"SF",3506,,23,0,0,4,0,0,0,0
930,"SF",3512,,0,14,12,9,0,0,0,0
931,"SF",3628,,41,0,0,5,0,0,0,0
932,"SF",3521,,0,50,25,10,0,0,0,0
933,"SF",1180,,18,0,0,0,0,0,0,0
934,"SF",2228,,12,0,0,0,0,0,0,0
935,"BF",12178,"2005",0,0,0,0,0,25,0,0
936,"SF",3554,,0,36,21,4,0,0,0,0
937,"SF",3260,,0,20,6,0,0,0,0,0
938,"SF",2961,"Nail-cleaners",0,46,4,0,0,0,0,0
939,"SF",2961,"Shaft",0,36,0,0,0,0,0,0
940,"SF",3022,"Fragment 1",0,21,20,0,0,0,0,0
941,"SF",3022,"Fragmenr 2",0,15,12,0,0,0,0,0
942,"SF",3022,"Fragment 3",0,15,12,0,0,0,0,0
943,"SF",2942,"Tweezers",0,54,0,0,0,0,0,0
944,"SF",2942,"Nail-cleaners",0,50,12,0,0,0,0,0
945,"SF",2942,"Ear-scoop",0,41,0,0,0,0,0,0
946,"SF",3002,"with stump",28,0,0,0,0,0,0,0
947,"SF",3593,,0,77,12,0,0,0,0,0
948,"SF",3601,,46,0,0,4,0,0,0,0
949,"SF",3697,,0,38,30,0,0,0,0,0
950,"SF",3363,,0,99,0,0,0,0,0,0
951,"SF",3288,,0,32,6,0,0,0,0,0
952,"SF",3635,,0,12,0,2,0,0,0,0
953,"SF",3593,,0,96,10,0,0,0,0,0
954,"SF",3500,,0,22,16,0,0,0,0,0
955,"SF",3932,,10,8,0,0,0,0,0,0
956,"SF",3670,,0,32,14,0,0,0,0,0
957,"SF",3655,,0,29,0,0,0,0,0,0
958,"SF",3484,,0,63,14,10,0,0,0,0
959,"SF",3696,,0,40,23,10,0,0,0,0
960,"SF",3854,,0,18,0,0,0,0,0,0
961,"BF",15834,"2004",0,0,0,0,0,30,0,0
